date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:54:59	1106/1106	---M--	200	added ('OK')	image/png	etag:%22556ee4e6-452%22	http://www.abhishekmondal.branded.me/shared/themes/default/img/icon/linkedin-dark.png	C:/My%20Web%20Sites/Abhishek_Mondal/www.abhishekmondal.branded.me/shared/themes/default/img/icon/linkedin-dark.png	(from http://www.abhishekmondal.branded.me/shared/themes/default/css/core/style.css)
17:54:59	712/712	---M--	200	added ('OK')	image/png	etag:%22556ee4e6-2c8%22	http://www.abhishekmondal.branded.me/shared/themes/default/img/icon/linkedin-light.png	C:/My%20Web%20Sites/Abhishek_Mondal/www.abhishekmondal.branded.me/shared/themes/default/img/icon/linkedin-light.png	(from http://www.abhishekmondal.branded.me/shared/themes/default/css/core/style.css)
17:55:00	1278/1278	---M--	200	added ('OK')	image/png	etag:%22556ee4e6-4fe%22	http://www.abhishekmondal.branded.me/shared/themes/default/img/icon/googleplus-dark.png	C:/My%20Web%20Sites/Abhishek_Mondal/www.abhishekmondal.branded.me/shared/themes/default/img/icon/googleplus-dark.png	(from http://www.abhishekmondal.branded.me/shared/themes/default/css/core/style.css)
17:55:08	834/834	---M--	200	added ('OK')	image/png	etag:%22556ee4e6-342%22	http://www.abhishekmondal.branded.me/shared/themes/default/img/icon/googleplus-light.png	C:/My%20Web%20Sites/Abhishek_Mondal/www.abhishekmondal.branded.me/shared/themes/default/img/icon/googleplus-light.png	(from http://www.abhishekmondal.branded.me/shared/themes/default/css/core/style.css)
17:55:08	1165/1165	---M--	404	error ('Not%20Found')	text/html	etag:%22556ee4e5-48d%22	http://www.abhishekmondal.branded.me/shared/themes/default/img/icon/instagram-dark.png	C:/My%20Web%20Sites/Abhishek_Mondal/www.abhishekmondal.branded.me/shared/themes/default/img/icon/instagram-dark.png	(from http://www.abhishekmondal.branded.me/shared/themes/default/css/core/style.css)
17:55:08	1165/1165	---M--	404	error ('Not%20Found')	text/html	etag:%22556ee4e5-48d%22	http://www.abhishekmondal.branded.me/shared/themes/default/img/icon/instagram-light.png	C:/My%20Web%20Sites/Abhishek_Mondal/www.abhishekmondal.branded.me/shared/themes/default/img/icon/instagram-light.png	(from http://www.abhishekmondal.branded.me/shared/themes/default/css/core/style.css)
17:55:09	1256/1256	---M--	200	added ('OK')	image/png	etag:%22556ee4e6-4e8%22	http://www.abhishekmondal.branded.me/shared/themes/default/img/icon/youtube-dark.png	C:/My%20Web%20Sites/Abhishek_Mondal/www.abhishekmondal.branded.me/shared/themes/default/img/icon/youtube-dark.png	(from http://www.abhishekmondal.branded.me/shared/themes/default/css/core/style.css)
17:55:09	808/808	---M--	200	added ('OK')	image/png	etag:%22556ee4e6-328%22	http://www.abhishekmondal.branded.me/shared/themes/default/img/icon/youtube-light.png	C:/My%20Web%20Sites/Abhishek_Mondal/www.abhishekmondal.branded.me/shared/themes/default/img/icon/youtube-light.png	(from http://www.abhishekmondal.branded.me/shared/themes/default/css/core/style.css)
17:55:10	1063/1063	---M--	200	added ('OK')	image/png	etag:%22556ee4e6-427%22	http://www.abhishekmondal.branded.me/shared/themes/default/img/icon/tumblr-dark.png	C:/My%20Web%20Sites/Abhishek_Mondal/www.abhishekmondal.branded.me/shared/themes/default/img/icon/tumblr-dark.png	(from http://www.abhishekmondal.branded.me/shared/themes/default/css/core/style.css)
17:55:10	670/670	---M--	200	added ('OK')	image/png	etag:%22556ee4e6-29e%22	http://www.abhishekmondal.branded.me/shared/themes/default/img/icon/tumblr-light.png	C:/My%20Web%20Sites/Abhishek_Mondal/www.abhishekmondal.branded.me/shared/themes/default/img/icon/tumblr-light.png	(from http://www.abhishekmondal.branded.me/shared/themes/default/css/core/style.css)
